PAT_ABS,pacients,percentatge
119,29037,6.45
199,26446,5.87
171,25426,5.65
208,22368,4.97
100,21533,4.78
126,21517,4.78
85,21156,4.7
15,21143,4.69
125,20558,4.56
189,19935,4.43
325,17521,3.89
234,15729,3.49
124,14251,3.16
93,12165,2.7
127,11295,2.51
Sense ABS,10787,2.4
221,10651,2.36
187,10646,2.36
336,9895,2.2
231,9191,2.04
267,9168,2.04
5,8370,1.86
330,8066,1.79
8,7975,1.77
101,6659,1.48
142,4874,1.08
133,4464,0.99
343,4402,0.98
83,4213,0.94
134,4191,0.93
80,3359,0.75
92,3080,0.68
173,2939,0.65
172,2625,0.58
114,1979,0.44
84,1820,0.4
258,1615,0.36
143,1212,0.27
177,1044,0.23
347,986,0.22
346,810,0.18
90,730,0.16
207,398,0.09
9,358,0.08
350,232,0.05
238,141,0.03
254,126,0.03
351,126,0.03
186,123,0.03
43,119,0.03
190,117,0.03
144,116,0.03
217,115,0.03
103,114,0.03
46,113,0.03
286,111,0.02
25,109,0.02
376,108,0.02
42,106,0.02
285,104,0.02
21,102,0.02
47,100,0.02
121,99,0.02
28,99,0.02
67,97,0.02
360,97,0.02
44,93,0.02
39,89,0.02
49,89,0.02
153,85,0.02
335,84,0.02
30,83,0.02
55,83,0.02
48,82,0.02
251,81,0.02
23,81,0.02
395,81,0.02
41,80,0.02
389,78,0.02
38,77,0.02
326,77,0.02
95,76,0.02
31,76,0.02
24,75,0.02
19,74,0.02
54,74,0.02
155,73,0.02
152,73,0.02
315,73,0.02
247,73,0.02
71,70,0.02
271,70,0.02
284,70,0.02
72,69,0.02
253,69,0.02
156,68,0.02
65,68,0.02
35,67,0.01
154,67,0.01
10,67,0.01
252,67,0.01
36,66,0.01
22,66,0.01
27,66,0.01
76,65,0.01
403,64,0.01
164,63,0.01
212,62,0.01
358,62,0.01
361,62,0.01
277,62,0.01
82,61,0.01
348,60,0.01
192,60,0.01
396,60,0.01
273,60,0.01
349,60,0.01
377,59,0.01
17,59,0.01
51,59,0.01
29,58,0.01
105,58,0.01
40,58,0.01
18,58,0.01
302,58,0.01
287,57,0.01
197,55,0.01
230,55,0.01
158,55,0.01
353,55,0.01
45,55,0.01
59,55,0.01
50,55,0.01
73,55,0.01
311,54,0.01
33,54,0.01
224,54,0.01
145,54,0.01
400,54,0.01
319,53,0.01
56,52,0.01
74,52,0.01
288,52,0.01
331,51,0.01
233,51,0.01
191,50,0.01
89,50,0.01
62,49,0.01
290,49,0.01
368,49,0.01
78,49,0.01
279,48,0.01
97,48,0.01
309,48,0.01
385,48,0.01
342,48,0.01
4,48,0.01
160,47,0.01
362,47,0.01
225,46,0.01
388,46,0.01
282,46,0.01
20,46,0.01
157,46,0.01
102,46,0.01
257,46,0.01
312,45,0.01
327,45,0.01
276,45,0.01
13,45,0.01
291,44,0.01
148,44,0.01
274,44,0.01
345,43,0.01
32,43,0.01
216,43,0.01
320,43,0.01
77,43,0.01
390,43,0.01
275,43,0.01
104,42,0.01
365,42,0.01
386,42,0.01
14,42,0.01
363,42,0.01
69,41,0.01
52,41,0.01
206,40,0.01
79,40,0.01
245,40,0.01
392,39,0.01
248,39,0.01
341,38,0.01
283,38,0.01
222,38,0.01
146,38,0.01
175,36,0.01
219,36,0.01
136,36,0.01
261,36,0.01
250,36,0.01
223,35,0.01
226,35,0.01
296,35,0.01
63,35,0.01
117,35,0.01
310,35,0.01
359,34,0.01
183,34,0.01
86,34,0.01
182,34,0.01
202,33,0.01
356,33,0.01
357,33,0.01
235,33,0.01
211,32,0.01
210,32,0.01
149,32,0.01
185,32,0.01
289,32,0.01
402,31,0.01
113,31,0.01
159,31,0.01
53,31,0.01
372,31,0.01
75,31,0.01
168,31,0.01
161,30,0.01
115,30,0.01
280,30,0.01
393,30,0.01
255,30,0.01
355,30,0.01
64,29,0.01
123,29,0.01
299,29,0.01
293,29,0.01
128,29,0.01
16,29,0.01
300,29,0.01
366,28,0.01
383,28,0.01
108,28,0.01
272,28,0.01
292,28,0.01
371,28,0.01
196,28,0.01
135,27,0.01
295,27,0.01
147,27,0.01
116,27,0.01
209,27,0.01
322,27,0.01
193,27,0.01
391,27,0.01
294,27,0.01
316,27,0.01
109,27,0.01
205,26,0.01
364,26,0.01
34,26,0.01
339,26,0.01
241,26,0.01
130,26,0.01
387,26,0.01
317,25,0.01
11,25,0.01
122,25,0.01
141,25,0.01
398,25,0.01
399,24,0.01
150,24,0.01
165,24,0.01
174,24,0.01
218,24,0.01
304,24,0.01
281,24,0.01
369,24,0.01
379,23,0.01
215,23,0.01
198,23,0.01
374,23,0.01
263,23,0.01
265,22,0.0
137,22,0.0
256,22,0.0
236,22,0.0
138,22,0.0
244,22,0.0
111,22,0.0
98,22,0.0
384,22,0.0
194,21,0.0
242,21,0.0
240,21,0.0
380,21,0.0
213,21,0.0
91,21,0.0
338,21,0.0
328,21,0.0
394,21,0.0
344,21,0.0
378,20,0.0
401,19,0.0
203,19,0.0
140,19,0.0
397,19,0.0
303,18,0.0
184,18,0.0
305,18,0.0
298,18,0.0
70,18,0.0
167,17,0.0
229,17,0.0
307,17,0.0
259,17,0.0
260,17,0.0
162,16,0.0
106,16,0.0
178,16,0.0
269,15,0.0
370,15,0.0
214,15,0.0
139,15,0.0
306,15,0.0
262,14,0.0
110,14,0.0
201,13,0.0
131,13,0.0
340,13,0.0
188,13,0.0
2,13,0.0
243,13,0.0
239,13,0.0
118,12,0.0
337,12,0.0
112,11,0.0
204,11,0.0
163,11,0.0
329,11,0.0
179,11,0.0
297,11,0.0
373,11,0.0
7,11,0.0
246,11,0.0
120,11,0.0
166,11,0.0
266,10,0.0
232,10,0.0
3,10,0.0
200,10,0.0
314,10,0.0
249,10,0.0
169,9,0.0
237,9,0.0
87,9,0.0
352,8,0.0
375,8,0.0
367,8,0.0
228,7,0.0
81,7,0.0
88,7,0.0
1,7,0.0
324,6,0.0
12,6,0.0
176,6,0.0
181,5,0.0
180,4,0.0
107,4,0.0
354,4,0.0
333,3,0.0
334,3,0.0
96,2,0.0
129,1,0.0
