PAT_ABS,registres
199,89282
119,88911
171,71957
85,70017
100,69781
126,69515
15,69253
125,65760
208,64498
189,59071
325,53067
234,50726
124,42456
93,37634
127,37308
187,36290
221,33949
231,31742
336,31491
8,27896
330,27409
5,27368
267,26512
101,22012
NULL,16724
133,14321
343,13956
134,12646
83,12600
80,10503
92,9767
142,9454
173,5447
172,4644
114,3688
84,3427
258,2921
143,2793
177,2357
347,1914
90,1742
346,1637
9,803
207,775
350,406
238,253
186,233
351,230
254,219
217,219
28,218
376,193
103,185
335,185
144,185
286,183
43,179
121,172
46,171
190,168
285,163
25,162
42,160
21,158
67,153
55,151
360,150
39,148
49,148
153,147
48,143
23,141
47,139
38,133
30,132
155,130
41,130
152,128
95,127
395,126
19,123
251,122
154,122
247,122
31,121
156,117
24,116
10,114
361,113
72,113
284,113
252,113
44,112
253,111
326,111
358,111
71,111
389,110
22,110
65,110
54,110
315,109
212,108
377,107
271,105
349,105
36,104
35,104
164,103
145,101
50,100
18,100
277,99
74,98
82,98
362,97
27,96
319,95
348,95
56,94
158,93
311,92
76,92
105,92
353,92
287,91
51,91
312,90
273,90
191,90
4,90
40,90
29,89
288,89
233,88
403,88
33,87
342,87
302,87
224,87
396,85
309,85
230,85
17,85
59,85
192,84
89,84
45,82
290,82
400,82
97,82
331,81
78,81
13,80
282,79
320,78
197,78
225,78
148,77
102,77
206,76
291,76
385,76
275,75
32,74
245,74
257,74
368,74
160,73
392,73
276,72
146,72
73,71
104,71
388,71
62,70
216,70
20,68
261,68
274,68
69,67
157,66
386,66
77,65
149,65
183,65
365,64
327,64
279,64
79,64
223,63
363,63
341,63
52,61
390,61
14,61
280,61
359,61
372,59
86,59
283,58
185,58
345,58
182,58
219,58
226,57
161,57
357,56
75,56
168,56
117,56
211,54
222,54
383,54
210,53
63,53
248,53
202,53
53,53
304,53
159,53
250,53
356,52
300,52
113,52
355,52
136,52
402,50
366,50
128,50
310,50
241,49
174,49
34,49
165,49
296,49
255,48
64,48
147,48
135,48
122,48
196,47
205,47
235,47
108,47
130,46
317,46
150,45
281,45
109,45
175,45
193,45
398,45
263,45
364,45
393,45
123,44
16,44
272,44
299,43
289,43
391,43
115,43
91,43
293,43
295,42
294,42
371,42
339,42
387,41
328,41
11,41
116,41
384,41
141,41
98,40
178,40
137,39
244,38
322,38
260,38
292,37
378,37
369,37
218,37
316,37
167,37
242,36
338,36
397,36
379,35
256,35
265,35
240,34
399,34
198,34
209,33
138,33
401,33
303,33
236,32
106,32
215,32
229,31
262,30
374,30
111,30
394,30
120,30
213,30
344,30
380,29
140,29
298,29
305,29
306,28
70,28
259,28
307,27
314,26
194,26
203,26
214,25
139,25
184,24
340,24
188,23
162,22
201,21
239,21
269,21
112,21
166,21
370,20
243,19
163,19
2,18
131,18
237,18
110,17
337,17
297,16
7,16
118,16
179,15
367,14
169,14
246,14
204,14
373,14
200,13
232,13
324,13
352,12
81,12
329,12
3,12
87,12
228,12
249,11
88,11
12,11
375,10
181,10
266,10
107,9
180,9
354,9
1,8
96,7
333,6
176,6
334,3
129,3
